iter	Passed	Remaining
646	8639	4713
647	8653	4700
648	8666	4687
649	8680	4673
650	8695	4661
651	8711	4649
652	8725	4636
653	8739	4623
654	8754	4611
655	8769	4598
656	8783	4585
657	8798	4573
658	8813	4560
659	8827	4547
660	8840	4534
661	8854	4520
662	8867	4507
663	8880	4493
664	8894	4480
665	8908	4467
666	8922	4454
667	8938	4442
668	8951	4429
669	8966	4416
670	8980	4403
671	8996	4391
672	9011	4378
673	9026	4365
674	9042	4353
675	9058	4341
676	9077	4330
677	9097	4320
678	9114	4309
679	9130	4296
680	9147	4285
681	9164	4273
682	9179	4260
683	9195	4248
684	9212	4236
685	9227	4223
686	9242	4210
687	9260	4199
688	9280	4188
689	9297	4176
690	9313	4164
691	9326	4151
692	9341	4138
693	9355	4124
694	9369	4111
695	9385	4099
696	9400	4086
697	9415	4073
698	9429	4060
699	9444	4047
700	9458	4034
701	9470	4020
702	9484	4006
703	9496	3993
704	9511	3979
705	9525	3966
706	9538	3953
707	9551	3939
708	9565	3925
709	9577	3912
710	9589	3898
711	9603	3884
712	9617	3871
713	9630	3857
714	9644	3844
715	9658	3830
716	9671	3817
717	9683	3803
718	9697	3789
719	9709	3776
720	9722	3762
721	9734	3748
722	9746	3734
723	9758	3720
724	9769	3705
725	9783	3692
726	9796	3678
727	9808	3664
728	9820	3650
729	9832	3636
730	9845	3623
731	9857	3609
732	9870	3595
733	9882	3581
734	9894	3567
735	9908	3554
736	9922	3541
737	9936	3527
738	9948	3513
739	9961	3499
740	9973	3485
741	9985	3472
742	9997	3457
743	10008	3443
744	10019	3429
745	10032	3415
746	10045	3402
747	10056	3388
748	10068	3374
749	10081	3360
750	10096	3347
751	10110	3334
752	10123	3320
753	10137	3307
754	10151	3294
755	10164	3280
756	10178	3267
757	10191	3253
758	10204	3240
759	10217	3226
760	10231	3213
761	10245	3200
762	10259	3186
763	10272	3173
764	10284	3159
765	10297	3145
766	10310	3132
767	10322	3118
768	10337	3105
769	10349	3091
770	10361	3077
771	10374	3063
772	10386	3050
773	10399	3036
774	10411	3022
775	10423	3008
776	10435	2995
777	10447	2981
778	10461	2967
779	10473	2954
780	10486	2940
781	10500	2927
782	10513	2913
783	10527	2900
784	10539	2886
785	10552	2872
786	10565	2859
787	10578	2845
788	10590	2832
789	10604	2819
790	10619	2806
791	10637	2793
792	10653	2780
793	10665	2767
794	10680	2753
795	10694	2740
796	10709	2727
797	10723	2714
798	10736	2700
799	10750	2687
800	10763	2674
801	10779	2661
802	10794	2648
803	10808	2634
804	10821	2621
805	10835	2608
806	10848	2594
807	10862	2581
808	10874	2567
